"rank","title","rating","year","runTime","genre","votes","gross","staff","description"
"115.","Zootopia","8.0","(2016)","108 min","
Animation, Adventure, Comedy            ","412,138","$341.27M","
    Directors:
Byron Howard, 
Rich Moore, 
Jared Bush
                 | 
    Stars:
Ginnifer Goodwin, 
Jason Bateman, 
Idris Elba, 
Jenny Slate
    ","
    In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
"116.","Horrible Bosses","6.9","(2011)","98 min","
Comedy, Crime            ","411,443","$117.54M","
    Director:
Seth Gordon
                 | 
    Stars:
Jason Bateman, 
Charlie Day, 
Jason Sudeikis, 
Steve Wiebe
    ","
    Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness."
"117.","The Help","8.1","(2011)","146 min","
Drama            ","410,401","$169.71M","
    Director:
Tate Taylor
                 | 
    Stars:
Emma Stone, 
Viola Davis, 
Octavia Spencer, 
Bryce Dallas Howard
    ","
    An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
"118.","Elysium","6.6","(I) (2013)","109 min","
Action, Drama, Sci-Fi            ","409,570","$93.05M","
    Director:
Neill Blomkamp
                 | 
    Stars:
Matt Damon, 
Jodie Foster, 
Sharlto Copley, 
Alice Braga
    ","
    In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds."
"119.","Captain Marvel","6.9","(2019)","123 min","
Action, Adventure, Sci-Fi            ","409,148","$426.83M","
    Directors:
Anna Boden, 
Ryan Fleck
                 | 
    Stars:
Brie Larson, 
Samuel L. Jackson, 
Ben Mendelsohn, 
Jude Law
    ","
    Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races."
"120.","Sherlock Holmes: A Game of Shadows","7.5","(2011)","129 min","
Action, Adventure, Crime            ","408,818","$186.85M","
    Director:
Guy Ritchie
                 | 
    Stars:
Robert Downey Jr., 
Jude Law, 
Jared Harris, 
Rachel McAdams
    ","
    Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe."
"121.","Baby Driver","7.6","(2017)","113 min","
Action, Crime, Drama            ","408,587","$107.83M","
    Director:
Edgar Wright
                 | 
    Stars:
Ansel Elgort, 
Jon Bernthal, 
Jon Hamm, 
Eiza Gonz¨¢lez
    ","
    After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
"122.","Fury","7.6","(2014)","134 min","
Action, Drama, War            ","407,178","$85.82M","
    Director:
David Ayer
                 | 
    Stars:
Brad Pitt, 
Shia LaBeouf, 
Logan Lerman, 
Michael Pe<U+00F1>a
    ","
    A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945."
"123.","Captain Phillips","7.8","(2013)","134 min","
Biography, Crime, Drama            ","405,707","$107.10M","
    Director:
Paul Greengrass
                 | 
    Stars:
Tom Hanks, 
Barkhad Abdi, 
Barkhad Abdirahman, 
Catherine Keener
    ","
    The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
"124.","Hacksaw Ridge","8.1","(2016)","139 min","
Biography, Drama, History            ","405,618","$67.21M","
    Director:
Mel Gibson
                 | 
    Stars:
Andrew Garfield, 
Sam Worthington, 
Luke Bracey, 
Teresa Palmer
    ","
    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
"125.","The Girl with the Dragon Tattoo","7.8","(2011)","158 min","
Crime, Drama, Mystery            ","405,392","$102.52M","
    Director:
David Fincher
                 | 
    Stars:
Daniel Craig, 
Rooney Mara, 
Christopher Plummer, 
Stellan Skarsg<U+00E5>rd
    ","
    Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
"126.","The Amazing Spider-Man 2","6.6","(2014)","142 min","
Action, Adventure, Sci-Fi            ","404,650","$202.85M","
    Director:
Marc Webb
                 | 
    Stars:
Andrew Garfield, 
Emma Stone, 
Jamie Foxx, 
Paul Giamatti
    ","
    When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones."
"127.","The Maze Runner","6.8","(2014)","113 min","
Action, Mystery, Sci-Fi            ","403,410","$102.43M","
    Director:
Wes Ball
                 | 
    Stars:
Dylan O'Brien, 
Kaya Scodelario, 
Will Poulter, 
Thomas Brodie-Sangster
    ","
    Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape."
"128.","Dawn of the Planet of the Apes","7.6","(2014)","130 min","
Action, Adventure, Drama            ","402,567","$208.55M","
    Director:
Matt Reeves
                 | 
    Stars:
Gary Oldman, 
Keri Russell, 
Andy Serkis, 
Kodi Smit-McPhee
    ","
    A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier."
"129.","Split","7.3","(IX) (2016)","117 min","
Horror, Thriller            ","399,452","$138.29M","
    Director:
M. Night Shyamalan
                 | 
    Stars:
James McAvoy, 
Anya Taylor-Joy, 
Haley Lu Richardson, 
Jessica Sula
    ","
    Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th."
"130.","The Hunger Games: Mockingjay - Part 1","6.6","(2014)","123 min","
Action, Adventure, Sci-Fi            ","397,952","$337.14M","
    Director:
Francis Lawrence
                 | 
    Stars:
Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Woody Harrelson
    ","
    Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage."
"131.","Three Billboards Outside Ebbing, Missouri","8.2","(2017)","115 min","
Comedy, Crime, Drama            ","396,052","$54.51M","
    Director:
Martin McDonagh
                 | 
    Stars:
Frances McDormand, 
Woody Harrelson, 
Sam Rockwell, 
Caleb Landry Jones
    ","
    A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit."
"132.","Spotlight","8.1","(I) (2015)","129 min","
Biography, Crime, Drama            ","395,894","$45.06M","
    Director:
Tom McCarthy
                 | 
    Stars:
Mark Ruffalo, 
Michael Keaton, 
Rachel McAdams, 
Liev Schreiber
    ","
    The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
"133.","Big Hero 6","7.8","(2014)","102 min","
Animation, Action, Adventure            ","394,203","$222.53M","
    Directors:
Don Hall, 
Chris Williams
                 | 
    Stars:
Ryan Potter, 
Scott Adsit, 
Jamie Chung, 
T.J. Miller
    ","
    The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes."
"134.","Parasite","8.6","(2019)","132 min","
Comedy, Drama, Thriller            ","391,654","$53.37M","
    Director:
Bong Joon Ho
                 | 
    Stars:
Kang-ho Song, 
Sun-kyun Lee, 
Yeo-jeong Jo, 
Woo-sik Choi
    ","
    Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
"135.","Fantastic Beasts and Where to Find Them","7.3","(2016)","132 min","
Adventure, Family, Fantasy            ","390,879","$234.04M","
    Director:
David Yates
                 | 
    Stars:
Eddie Redmayne, 
Katherine Waterston, 
Alison Sudol, 
Dan Fogler
    ","
    The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school."
"136.","Tangled","7.7","(2010)","100 min","
Animation, Adventure, Comedy            ","389,405","$200.82M","
    Directors:
Nathan Greno, 
Byron Howard
                 | 
    Stars:
Mandy Moore, 
Zachary Levi, 
Donna Murphy, 
Ron Perlman
    ","
    The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
"137.","We're the Millers","7.0","(2013)","110 min","
Comedy, Crime            ","388,878","$150.39M","
    Director:
Rawson Marshall Thurber
                 | 
    Stars:
Jason Sudeikis, 
Jennifer Aniston, 
Emma Roberts, 
Ed Helms
    ","
    A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico."
"138.","The Theory of Everything","7.7","(2014)","123 min","
Biography, Drama, Romance            ","383,240","$35.89M","
    Director:
James Marsh
                 | 
    Stars:
Eddie Redmayne, 
Felicity Jones, 
Tom Prior, 
Sophie Perry
    ","
    A look at the relationship between the famous physicist Stephen Hawking and his wife."
"139.","X-Men: Apocalypse","6.9","(2016)","144 min","
Action, Adventure, Sci-Fi            ","378,670","$155.44M","
    Director:
Bryan Singer
                 | 
    Stars:
James McAvoy, 
Michael Fassbender, 
Jennifer Lawrence, 
Nicholas Hoult
    ","
    In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world."
"140.","A Quiet Place","7.5","(2018)","90 min","
Drama, Horror, Sci-Fi            ","377,875","$188.02M","
    Director:
John Krasinski
                 | 
    Stars:
Emily Blunt, 
John Krasinski, 
Millicent Simmonds, 
Noah Jupe
    ","
    In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing."
"141.","Transformers: Dark of the Moon","6.2","(2011)","154 min","
Action, Adventure, Sci-Fi            ","376,635","$352.39M","
    Director:
Michael Bay
                 | 
    Stars:
Shia LaBeouf, 
Rosie Huntington-Whiteley, 
Tyrese Gibson, 
Josh Duhamel
    ","
    The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets."
"142.","This Is the End","6.6","(2013)","107 min","
Comedy            ","373,950","$101.47M","
    Directors:
Evan Goldberg, 
Seth Rogen
                 | 
    Stars:
James Franco, 
Jonah Hill, 
Seth Rogen, 
Jay Baruchel
    ","
    Six Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves."
"143.","Midnight in Paris","7.7","(2011)","94 min","
Comedy, Fantasy, Romance            ","372,445","$56.82M","
    Director:
Woody Allen
                 | 
    Stars:
Owen Wilson, 
Rachel McAdams, 
Kathy Bates, 
Kurt Fuller
    ","
    While on a trip to Paris with his fianc¨¦e's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
"144.","Alice in Wonderland","6.4","(I) (2010)","108 min","
Adventure, Family, Fantasy            ","372,289","$334.19M","
    Director:
Tim Burton
                 | 
    Stars:
Mia Wasikowska, 
Johnny Depp, 
Helena Bonham Carter, 
Anne Hathaway
    ","
    Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
"145.","Spectre","6.8","(I) (2015)","148 min","
Action, Adventure, Thriller            ","370,981","$200.07M","
    Director:
Sam Mendes
                 | 
    Stars:
Daniel Craig, 
Christoph Waltz, 
L¨¦a Seydoux, 
Ralph Fiennes
    ","
    A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions."
"146.","Godzilla","6.4","(2014)","123 min","
Action, Adventure, Sci-Fi            ","366,321","$200.68M","
    Director:
Gareth Edwards
                 | 
    Stars:
Aaron Taylor-Johnson, 
Elizabeth Olsen, 
Bryan Cranston, 
Ken Watanabe
    ","
    The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity."
"147.","Wreck-It Ralph","7.7","(2012)","101 min","
Animation, Adventure, Comedy            ","365,726","$189.42M","
    Director:
Rich Moore
                 | 
    Stars:
John C. Reilly, 
Jack McBrayer, 
Jane Lynch, 
Sarah Silverman
    ","
    A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
"148.","Justice League","6.4","(2017)","120 min","
Action, Adventure, Fantasy            ","360,568","$229.02M","
    Director:
Zack Snyder
                 | 
    Stars:
Ben Affleck, 
Gal Gadot, 
Jason Momoa, 
Ezra Miller
    ","
    Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy."
"149.","The Cabin in the Woods","7.0","(2011)","95 min","
Horror            ","359,343","$42.07M","
    Director:
Drew Goddard
                 | 
    Stars:
Kristen Connolly, 
Chris Hemsworth, 
Anna Hutchison, 
Fran Kranz
    ","
    Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
"150.","Scott Pilgrim vs. the World","7.5","(2010)","112 min","
Action, Comedy, Fantasy            ","359,049","$31.49M","
    Director:
Edgar Wright
                 | 
    Stars:
Michael Cera, 
Mary Elizabeth Winstead, 
Kieran Culkin, 
Anna Kendrick
    ","
    Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart."
"151.","In Time","6.7","(2011)","109 min","
Action, Sci-Fi, Thriller            ","358,994","$37.52M","
    Director:
Andrew Niccol
                 | 
    Stars:
Justin Timberlake, 
Amanda Seyfried, 
Cillian Murphy, 
Olivia Wilde
    ","
    In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
"152.","Furious 6","7.1","(2013)","130 min","
Action, Adventure, Crime            ","358,919","$238.68M","
    Director:
Justin Lin
                 | 
    Stars:
Vin Diesel, 
Paul Walker, 
Dwayne Johnson, 
Michelle Rodriguez
    ","
    Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty."
"153.","Despicable Me 2","7.3","(2013)","98 min","
Animation, Adventure, Comedy            ","358,865","$368.06M","
    Directors:
Pierre Coffin, 
Chris Renaud
                 | 
    Stars:
Steve Carell, 
Kristen Wiig, 
Benjamin Bratt, 
Miranda Cosgrove
    ","
    When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
"154.","Brave","7.1","(2012)","93 min","
Animation, Adventure, Comedy            ","358,727","$237.28M","
    Directors:
Mark Andrews, 
Brenda Chapman, 
Steve Purcell
                 | 
    Stars:
Kelly Macdonald, 
Billy Connolly, 
Emma Thompson, 
Julie Walters
    ","
    Determined to make her own path in life, Princess Merida (Kelly Macdonald) defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
"155.","Sicario","7.6","(2015)","121 min","
Action, Crime, Drama            ","352,060","$46.89M","
    Director:
Denis Villeneuve
                 | 
    Stars:
Emily Blunt, 
Josh Brolin, 
Benicio Del Toro, 
Jon Bernthal
    ","
    An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico."
"156.","Furious 7","7.2","(2015)","137 min","
Action, Adventure, Crime            ","348,737","$353.01M","
    Director:
James Wan
                 | 
    Stars:
Vin Diesel, 
Paul Walker, 
Dwayne Johnson, 
Jason Statham
    ","
    Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother."
"157.","The Shape of Water","7.3","(2017)","123 min","
Adventure, Drama, Fantasy            ","347,880","$63.86M","
    Director:
Guillermo del Toro
                 | 
    Stars:
Sally Hawkins, 
Octavia Spencer, 
Michael Shannon, 
Doug Jones
    ","
    At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
"158.","Room","8.1","(I) (2015)","118 min","
Drama, Thriller            ","346,424","$14.68M","
    Director:
Lenny Abrahamson
                 | 
    Stars:
Brie Larson, 
Jacob Tremblay, 
Sean Bridgers, 
Wendy Crewson
    ","
    Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
"159.","Moneyball","7.6","(2011)","133 min","
Biography, Drama, Sport            ","346,026","$75.61M","
    Director:
Bennett Miller
                 | 
    Stars:
Brad Pitt, 
Robin Wright, 
Jonah Hill, 
Philip Seymour Hoffman
    ","
    Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players."
"160.","Easy A","7.1","(2010)","92 min","
Comedy, Drama, Romance            ","345,184","$58.40M","
    Director:
Will Gluck
                 | 
    Stars:
Emma Stone, 
Amanda Bynes, 
Penn Badgley, 
Dan Byrd
    ","
    A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing."
"161.","Fast Five","7.3","(2011)","130 min","
Action, Adventure, Crime            ","342,766","$209.84M","
    Director:
Justin Lin
                 | 
    Stars:
Vin Diesel, 
Paul Walker, 
Dwayne Johnson, 
Jordana Brewster
    ","
    Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent."
"162.","John Wick: Chapter 2","7.5","(2017)","122 min","
Action, Crime, Thriller            ","341,415","$92.03M","
    Director:
Chad Stahelski
                 | 
    Stars:
Keanu Reeves, 
Riccardo Scamarcio, 
Ian McShane, 
Ruby Rose
    ","
    After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
"163.","Ready Player One","7.5","(2018)","140 min","
Action, Adventure, Sci-Fi            ","340,482","$137.69M","
    Director:
Steven Spielberg
                 | 
    Stars:
Tye Sheridan, 
Olivia Cooke, 
Ben Mendelsohn, 
Lena Waithe
    ","
    When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world."
"164.","The Big Short","7.8","(2015)","130 min","
Biography, Comedy, Drama            ","338,631","$70.26M","
    Director:
Adam McKay
                 | 
    Stars:
Christian Bale, 
Steve Carell, 
Ryan Gosling, 
Brad Pitt
    ","
    In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is."
"165.","127 Hours","7.6","(2010)","94 min","
Biography, Drama            ","337,703","$18.34M","
    Director:
Danny Boyle
                 | 
    Stars:
James Franco, 
Amber Tamblyn, 
Kate Mara, 
Sean Bott
    ","
    A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive."
"166.","The Town","7.5","(2010)","125 min","
Crime, Drama, Thriller            ","337,675","$92.19M","
    Director:
Ben Affleck
                 | 
    Stars:
Ben Affleck, 
Rebecca Hall, 
Jon Hamm, 
Jeremy Renner
    ","
    A longtime thief, planning his next job, tries to balance his feelings for a bank manager connected to an earlier heist, and a hell-bent F.B.I Agent looking to bring him and his crew down."
"167.","Cloud Atlas","7.4","(2012)","172 min","
Action, Drama, Mystery            ","336,551","$27.11M","
    Directors:
Tom Tykwer, 
Lana Wachowski, 
Lilly Wachowski
                 | 
    Stars:
Tom Hanks, 
Halle Berry, 
Hugh Grant, 
Hugo Weaving
    ","
    An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
"168.","Aquaman","7.0","(2018)","143 min","
Action, Adventure, Fantasy            ","335,569","$335.06M","
    Director:
James Wan
                 | 
    Stars:
Jason Momoa, 
Amber Heard, 
Willem Dafoe, 
Patrick Wilson
    ","
    Arthur Curry (Jason Momoa), the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land."
"169.","Coco","8.4","(I) (2017)","105 min","
Animation, Adventure, Family            ","335,411","$209.73M","
    Directors:
Lee Unkrich, 
Adrian Molina
                 | 
    Stars:
Anthony Gonzalez, 
Gael Garc¨ªa Bernal, 
Benjamin Bratt, 
Alanna Ubach
    ","
    Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
"170.","22 Jump Street","7.0","(2014)","112 min","
Action, Comedy, Crime            ","334,618","$191.72M","
    Directors:
Phil Lord, 
Christopher Miller
                 | 
    Stars:
Channing Tatum, 
Jonah Hill, 
Ice Cube, 
Nick Offerman
    ","
    After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
"171.","Passengers","7.0","(I) (2016)","116 min","
Drama, Romance, Sci-Fi            ","332,896","$100.01M","
    Director:
Morten Tyldum
                 | 
    Stars:
Jennifer Lawrence, 
Chris Pratt, 
Michael Sheen, 
Laurence Fishburne
    ","
    A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."
"172.","The Fault in Our Stars","7.7","(2014)","126 min","
Drama, Romance            ","331,189","$124.87M","
    Director:
Josh Boone
                 | 
    Stars:
Shailene Woodley, 
Ansel Elgort, 
Nat Wolff, 
Laura Dern
    ","
    Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam."
"173.","Maleficent","7.0","(2014)","97 min","
Action, Adventure, Family            ","330,848","$241.41M","
    Director:
Robert Stromberg
                 | 
    Stars:
Angelina Jolie, 
Elle Fanning, 
Sharlto Copley, 
Lesley Manville
    ","
    A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land."
"174.","Super 8","7.0","(2011)","112 min","
Mystery, Sci-Fi, Thriller            ","330,641","$127.00M","
    Director:
J.J. Abrams
                 | 
    Stars:
Elle Fanning, 
AJ Michalka, 
Kyle Chandler, 
Joel Courtney
    ","
    During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
"175.","Venom","6.7","(2018)","112 min","
Action, Adventure, Sci-Fi            ","330,270","$213.52M","
    Director:
Ruben Fleischer
                 | 
    Stars:
Tom Hardy, 
Michelle Williams, 
Riz Ahmed, 
Scott Haze
    ","
    A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it."
"176.","Friends with Benefits","6.5","(2011)","109 min","
Comedy, Romance            ","329,849","$55.80M","
    Director:
Will Gluck
                 | 
    Stars:
Mila Kunis, 
Justin Timberlake, 
Patricia Clarkson, 
Jenna Elfman
    ","
    A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications."
"177.","The Fighter","7.8","(I) (2010)","116 min","
Biography, Drama, Sport            ","329,441","$93.62M","
    Director:
David O. Russell
                 | 
    Stars:
Mark Wahlberg, 
Christian Bale, 
Amy Adams, 
Melissa Leo
    ","
    Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
"178.","Mission: Impossible - Rogue Nation","7.4","(2015)","131 min","
Action, Adventure, Thriller            ","328,877","$195.04M","
    Director:
Christopher McQuarrie
                 | 
    Stars:
Tom Cruise, 
Rebecca Ferguson, 
Jeremy Renner, 
Simon Pegg
    ","
    Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF."
"179.","Boyhood","7.9","(I) (2014)","165 min","
Drama            ","326,829","$25.38M","
    Director:
Richard Linklater
                 | 
    Stars:
Ellar Coltrane, 
Patricia Arquette, 
Ethan Hawke, 
Elijah Smith
    ","
    The life of Mason, from early childhood to his arrival at college."
"180.","Men in Black 3","6.8","(2012)","106 min","
Action, Adventure, Comedy            ","325,649","$179.02M","
    Director:
Barry Sonnenfeld
                 | 
    Stars:
Will Smith, 
Tommy Lee Jones, 
Josh Brolin, 
Jemaine Clement
    ","
    Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history."
"181.","The Equalizer","7.2","(2014)","132 min","
Action, Crime, Thriller            ","319,049","$101.53M","
    Director:
Antoine Fuqua
                 | 
    Stars:
Denzel Washington, 
Marton Csokas, 
Chlo<U+00EB> Grace Moretz, 
David Harbour
    ","
    A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life, before he meets a young girl under the control of ultra-violent Russian gangsters and can't stand idly by."
"182.","The Expendables","6.5","(2010)","103 min","
Action, Adventure, Thriller            ","317,867","$103.07M","
    Director:
Sylvester Stallone
                 | 
    Stars:
Sylvester Stallone, 
Jason Statham, 
Jet Li, 
Dolph Lundgren
    ","
    A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent."
"183.","Green Book","8.2","(2018)","130 min","
Biography, Comedy, Drama            ","317,838","$85.08M","
    Director:
Peter Farrelly
                 | 
    Stars:
Viggo Mortensen, 
Mahershala Ali, 
Linda Cardellini, 
Sebastian Maniscalco
    ","
    A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South."
"184.","The Lego Movie","7.7","(2014)","100 min","
Animation, Action, Adventure            ","316,000","$257.76M","
    Directors:
Christopher Miller, 
Phil Lord
                 | 
    Stars:
Chris Pratt, 
Will Ferrell, 
Elizabeth Banks, 
Will Arnett
    ","
    An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
"185.","Flight","7.3","(I) (2012)","138 min","
Drama, Thriller            ","315,299","$93.77M","
    Director:
Robert Zemeckis
                 | 
    Stars:
Denzel Washington, 
Nadine Velazquez, 
Don Cheadle, 
John Goodman
    ","
    An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling."
"186.","Due Date","6.5","(2010)","95 min","
Comedy, Drama            ","314,960","$100.54M","
    Director:
Todd Phillips
                 | 
    Stars:
Robert Downey Jr., 
Zach Galifianakis, 
Michelle Monaghan, 
Jamie Foxx
    ","
    High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time."
"187.","Spider-Man: Into the Spider-Verse","8.4","(2018)","117 min","
Animation, Action, Adventure            ","314,067","$190.24M","
    Directors:
Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman
                 | 
    Stars:
Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali
    ","
    Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities."
"188.","Star Wars: Episode IX - The Rise of Skywalker","6.7","(2019)","142 min","
Action, Adventure, Fantasy            ","310,400","$515.20M","
    Director:
J.J. Abrams
                 | 
    Stars:
Daisy Ridley, 
John Boyega, 
Oscar Isaac, 
Adam Driver
    ","
    The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end."
"189.","50/50","7.6","(2011)","100 min","
Comedy, Drama, Romance            ","309,075","$35.01M","
    Director:
Jonathan Levine
                 | 
    Stars:
Joseph Gordon-Levitt, 
Seth Rogen, 
Anna Kendrick, 
Bryce Dallas Howard
    ","
    Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
"190.","Monsters University","7.3","(2013)","104 min","
Animation, Adventure, Comedy            ","309,028","$268.49M","
    Director:
Dan Scanlon
                 | 
    Stars:
Billy Crystal, 
John Goodman, 
Steve Buscemi, 
Helen Mirren
    ","
    A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends."
"191.","A Star Is Born","7.7","(2018)","136 min","
Drama, Music, Romance            ","306,604","$215.29M","
    Director:
Bradley Cooper
                 | 
    Stars:
Lady Gaga, 
Bradley Cooper, 
Sam Elliott, 
Greg Grunberg
    ","
    A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral."
"192.","Moonrise Kingdom","7.8","(2012)","94 min","
Comedy, Drama, Romance            ","306,073","$45.51M","
    Director:
Wes Anderson
                 | 
    Stars:
Jared Gilman, 
Kara Hayward, 
Bruce Willis, 
Bill Murray
    ","
    A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
